type_of_reference,authors,title,year,secondary_title,volume,number,start_page,end_page,doi,urls,author_address,abstract,keywords,publisher,issn,language,alternate_title1,type_of_work,name_of_database,notes,database,secondary_authors,custom7,custom2,short_title
JOUR,"['Cook, M.', 'Gow, J.', 'Smith, G.', 'Colton, S.']",Danesh: Interactive Tools for Understanding Procedural Content Generators,2022,IEEE Transactions on Games,14,3,329,338,10.1109/TG.2021.3078323,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105867362&doi=10.1109%2fTG.2021.3078323&partnerID=40&md5=abb8ee19de7b37ed360b8857b6e65e57'],"Queen Mary University of London, London, E1 4NS, United Kingdom","In order to advance the field of procedural content generation, and transfer knowledge from academic research to everyday use, we need to develop tools that make generative systems easier to understand and control. In this article, we introduce Danesh, a plugin to the unity game development environment, which helps provide a suite of tools that provide automation or analysis of different aspects of procedural generators. We describe here the features of Danesh, including automatic analysis of generated content, the visualization of generative spaces, automatic parameter discovery, and interface smoothing. We also provide reflections on our development of the tool so far.  © 2018 IEEE.","['Computational creativity', 'generative software analysis', 'procedural generation', 'Academic research', 'Computational creativities', 'Game development', 'Generative software analyse', 'Generative systems', 'Interactive tool', 'Plug-ins', 'Procedural content generations', 'Procedural generation', 'Software analysis', 'Software design']",Institute of Electrical and Electronics Engineers Inc.,24751502 (ISSN),English,IEEE Trans. Games,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 13; Correspondence Address: M. Cook; Queen Mary University of London, London, E1 4NS, United Kingdom; email: mike@possibilityspace.org']",SCOPUS,,,,
CONF,"['Vasudevan, V.', 'Darshan, M.R.', 'Kumar, J.V.S.S.P.', 'Gaonkar, S.K.', 'Reddy, T.E.']",Video Summarization on E-Sport,2024,Communications in Computer and Information Science,1973 CCIS,,200,212,10.1007/978-3-031-50993-3_16,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185703932&doi=10.1007%2f978-3-031-50993-3_16&partnerID=40&md5=0e2c7fd0ae9384a32549e1ac270631e2'],"Department of Computer Science Engineering, Nitte Meenakshi Institute of Technology, Bengaluru, India","Video summarizing is a useful technique for extracting the most important information from long videos. The “Video Summarization on E-sport” technique, which hasn't been extensively used in the esports industry yet attempts to automatically create highlights from e-sport game footage. This program, which users may input an e-sport game into, can produce summarized movies that capture the most thrilling parts of the game without the need for specialized equipment or experienced video editors. The suggested approach leverages AI, machine learning, and certain Python modules to produce highlights automatically, as opposed to the conventional way of making summarized movies, which is labor and time intensive. Users may save important time and effort by using the technology to automatically summarize key game moments by analyzing audio and text cues. The future of e-sports content creation may be greatly impacted by this technology, which has the potential to revolutionize the way e-sport game footage are summarized. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","['Artificial Intelligence', 'Audio', 'e-sport', 'Machine Learning', 'Python', 'text cues', 'Video Summarization', 'High level languages', 'Machine learning', 'Sports', 'Video recording', 'Audio', 'Content creation', 'E-sports', 'Machine-learning', 'Specialized equipment', 'Text cue', 'Video editor', 'Video summarization', 'Python']",Springer Science and Business Media Deutschland GmbH,18650929 (ISSN); 978-303150992-6 (ISBN),English,Commun. Comput. Info. Sci.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: V. Vasudevan; Department of Computer Science Engineering, Nitte Meenakshi Institute of Technology, Bengaluru, India; email: vani.v@nmit.ac.in; Conference name: 1st International Conference on Computational Sciences and Sustainable Technologies, ICCSST 2023; Conference date: 8 May 2023 through 9 May 2023; Conference code: 307819']",SCOPUS,"['Aurelia S.', 'J. C.', 'Immanuel A.', 'Mani J.', 'Padmanabha V.']",,,
CONF,"['Short, A.-R.']",DESIGNING FICTIONAL WORLDS FOR PLAY THROUGH LARGE LANGUAGE MODELS,2024,Proceedings of the ASME Design Engineering Technical Conference,3B-2024,,,,10.1115/DETC2024-143923,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210069172&doi=10.1115%2fDETC2024-143923&partnerID=40&md5=d245431a79a2aa12a8704bf2c2466e3e'],"University of Nebraska Omaha, Omaha, NE, United States","This paper explores the application of Large Language Models (LLMs) in addressing the challenges of procedural generation in video game design, specifically tackling the Oatmeal Problem and the Bach Faucet Problem. These issues refer to the generation of endlessly similar, unengaging content and the devaluation of content due to its infinite producibility, respectively. By integrating design thinking, computational-cognitive heuristics, and prompt engineering with modern machine intelligence tools, we propose a novel approach termed Procedural Woodworking (PWw). This methodology aims to generate unique worlds and narratives through LLMs while enhancing player engagement by embedding a player's character into the game's narrative in a meaningful way. We utilize OpenAI's ChatGPT-4 to create custom GPTs for world-building and narrative generation, evaluating their novelty and logical consistency through comparative rating scales. Our results indicate that both Top-Down and Bottom-Up world-building methods can produce logically consistent and structurally coherent outputs. The Procedural Woodworking approach, in particular, shows promise in generating novel narrative content that aligns with pre-made human-designed fictional worlds, potentially mitigating the identified procedural generation problems. This study lays the groundwork for further investigation into how LLMs can enrich game design and player experience by offering a more personalized and value-driven narrative generation process. Copyright © 2024 by ASME.","['Artistic and Creative Design', 'Generative AI', 'Large-Language Models', 'Video games', 'Behavioral research', 'Computer simulation languages', 'Game design', 'Interactive computer graphics', 'Machine design', 'Structural dynamics', 'Woodworking tools', 'Artistic designs', 'Creative design', 'Design thinking', 'Game design', 'Generative AI', 'Integrating design', 'Language model', 'Large-language model', 'Modern machines', 'Video-games', 'Woodworking']",American Society of Mechanical Engineers (ASME),978-079188837-7 (ISBN),English,Proc. ASME Des. Eng. Tech. Conf.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: ASME 2024 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, IDETC-CIE 2024; Conference date: 25 August 2024 through 28 August 2024; Conference code: 203940']",SCOPUS,,v03bt00a051,,
JOUR,"['Chia, A.']",The artist and the automaton in digital game production,2022,Convergence,28,2,389,412,10.1177/13548565221076434,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125928447&doi=10.1177%2f13548565221076434&partnerID=40&md5=bcfc9f3a36644c08be37c681649a342c'],"Goldsmiths, University of London, United Kingdom","This article analyses discourses around procedural content generation (PCG) as automation of creativity in the games industry. PCG refers to techniques for creating game content algorithmically, by manipulating data through sets of computational operations and parameters. By producing scalable results with combinatorial diversity, procedural generation is touted as the future of content, yet flouted as the harbinger of technological unemployment in game art production. Critical scholarship on automation suggests that the real danger is not job loss per se, but the constitution of an underclass of artists whose vital work of conditioning algorithmic outputs is denigrated as derivative and ‘manual’. Framed by liberal humanist ideas of agency, PCG naturalizes trade-offs where the autonomy of generative machines is contingent upon the automatism of its human conditioners. This qualitative analyses of talks on PCG at the Game Developers Conference (2015–2020) shows how procedural systems bifurcate the creative work of algorithmic cultural production into affective and mechanical forms of conditioning that map onto stratifications of racial capitalism. Affective tuning resists documentation and is reserved for artists with technomasculine forms of cultural capital; mechanical tuning is relegated to automatable and outsourced labour and relies on replicable technique that is considered artistic but not creative. This article argues that PCG’s reclassification of creativity through racialised dialectics of human agency and machine automaticity overlooks the autonomy of procedural systems. PCG pipelines are organised less around the agency of human toolmakers and more around the autonomy of systems that assimilate tasks in the management of complex networks of dependencies. Instead of pitting artists against machines, this analysis politicises automation’s racial stratifications by examining the momentum of more-than-human systems in which toolmakers and tool users negotiate granularities of control and degrees of concession. © The Author(s) 2022.","['automation', 'computational creativity', 'creative industries', 'digital game production', 'digital labour', 'outsourcing', 'Procedural generation', 'racial capitalism']",SAGE Publications Ltd,13548565 (ISSN),English,Convergence,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 13; Correspondence Address: A. Chia; Goldsmiths, University of London, United Kingdom; email: a.chia@gold.ac.uk']",SCOPUS,,,,
JOUR,"['Rundel, S.', 'De Amicis, R.']",Leveraging digital twin and game-engine for traffic simulations and visualizations,2023,Frontiers in Virtual Reality,4,,,,10.3389/frvir.2023.1048753,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149706847&doi=10.3389%2ffrvir.2023.1048753&partnerID=40&md5=bc4ed66b519905428e205bdb5fd22909'],"School of Electrical Engineering and Computer Science, College of Engineering, Oregon State University, Corvallis, OR, United States","Combined with simulation software packages, City Information Models allow analysts and decision-makers to explore ‘what-if?’ questions and scenarios for various engineering and strategic applications. In this context, crowd and traffic simulations are most commonly utilized. Urban intelligent traffic management and pedestrian flow analysis greatly benefits from the latest generation of 3D City Information Models created from accurate urban-scale geospatial information. Analysis and simulation tools based on geometric, semantic, morphological, and structural information at the urban scale level offer the scientific foundation for all the activities required for identifying, detecting, planning, training, and analyzing vulnerability that may threaten human lives in urban environments. Nevertheless, the literature research showed that samples of operational Digital Twins incorporating simulation capabilities are impracticable for small municipalities and rural, low-income communities due to their complex infrastructure, hardware, and data requirements. It is desirable to reduce the requirements for these Digital Twins and still be capable of running comprehensive and accurate simulations based on urban-scale geospatial information. This article proposes an innovative framework and workflow capable of generating an operational Digital Twin and its visualization in the form of a 3D model using a procedural approach. The Digital Twin is connected with the traffic simulation SUMO and the Game Engine Unity for visualization using the TraCI middleware. The middleware is extended with additional functionalities and acts as an authoring tool. Unity allows visualizations in VR. The entire framework can be run on a single, standalone computer and is ready in a matter of minutes. The proposed framework for integrating modeling, simulation, and visualization of operational Digital Twins can help guide better decision-making for both rural areas as well as cities. Copyright © 2023 Rundel and De Amicis.","['city information model', 'data combination', 'digital twin', 'game engine', 'geographic information system', 'SUMO', 'traffic simulation', 'unity']",Frontiers Media S.A.,26734192 (ISSN),English,Front. Virtual. Real.,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 8; Correspondence Address: R. De Amicis; School of Electrical Engineering and Computer Science, College of Engineering, Oregon State University, Corvallis, United States; email: raffaele.deamicis@oregonstate.edu']",SCOPUS,,1048753,,
CONF,"['Aliaga, C.', 'Vidal, C.', 'Sepulveda, G.K.', 'Romero, N.', 'Gonzalez, F.', 'Barriga, N.A.']",Level Building Sidekick: An AI-Assisted Level Editor Package for Unity,2023,"Proceedings - AAAI Artificial Intelligence and Interactive Digital Entertainment Conference, AIIDE",19,1,392,399,,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175400001&partnerID=40&md5=20a2adf8be2c7429380c4f734c20f559'],"Faculty of Engineering, Universidad de Talca, Talca, Chile","Developing an original video game requires high investment levels, market research, cost-effective solutions, and a quick development process. Game developers usually reach for commercial off-the-shelf components often available in the engine’s marketplace to reduce costs. Mixed-initiative authoring tools allow us to combine the thoughtful work of human designers with the productivity gains of automated techniques. However, most commercial AI-assisted Procedural Content Generation tools focus on generating small independent components, and standalone research tools available for generating full game levels with state-of-the-art algorithms usually lack integration with commercial game engines. This article aims to fill this gap between industry and academia. The Level Building Sidekick (LBS) is a mixed-initiative procedural content generation tool built by our research lab in association with four small independent game studios. It has a modular software architecture that enables developers to extend it for their particular projects. The current version has two working modules for building game maps, an early version of a module for populating the level with NPCs or items, and the first stages of a quest editor module. An automated testing module is planned. LBS is distributed as an AI-Assisted videogame-level editor Unity package. Usability testing performed using the “Think-Aloud” methodology indicates LBS has the potential to improve game development processes convincingly. However, at this stage, the user interface and the AI recommendations could improve their intuitiveness. As a general comment, the tool is perceived as a substantial contribution to facilitating and shortening development times, compared to only using the base game engine. There is an untapped market for mixed-initiative tools that assist the game designer in creating complete game levels. We expect to fill that market for our partner development studios and provide the community with an open research and development platform in a standard game engine. Copyright © 2023, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","['Artificial intelligence', 'Commerce', 'Computer games', 'Cost effectiveness', 'Human computer interaction', 'Interactive computer graphics', 'Investments', 'Software design', 'User interfaces', 'Commercial off-the-shelf components', 'Content generation tools', 'Cost-effective solutions', 'Development process', 'Game Engine', 'Market researches', 'Mixed-initiative', 'Procedural content generations', 'Reduce costs', 'Video-games', 'Studios']",Association for the Advancement of Artificial Intelligence,2326909X (ISSN); 157735883X (ISBN); 978-157735883-1 (ISBN),English,"Proc. AAAI Conf. Artif. Intell. Interact. Digit. Entertain., AIIDE",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Correspondence Address: N.A. Barriga; Faculty of Engineering, Universidad de Talca, Talca, Chile; email: nbarriga@utalca.cl; Conference name: 19th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2023; Conference date: 8 October 2023 through 12 October 2023; Conference code: 193597']",SCOPUS,"['Eger M.', 'Cardona-Rivera R.E.']",,,
CONF,"['Feng, B.', 'Su, M.', 'Zeng, K.', 'Li, X.']",Player-Oriented Procedural Generation: Producing Desired Game Content by Natural Language,2024,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14730 LNCS,,260,274,10.1007/978-3-031-60692-2_18,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195874187&doi=10.1007%2f978-3-031-60692-2_18&partnerID=40&md5=9b6846c860f59e49005794825b747547'],"Shenzhen University, Shenzhen, China","Procedural Content Generation (PCG) plays a vital role in digital games and interactive media, using algorithms and rules to automatically generate the core elements of a game, aiming to provide a rich and unique experience for the player. This study proposes an innovative player-oriented PCG approach to integrate PCG into the player’s gaming experience to enhance game interactivity. We developed a Quick Custom Map Generation System (QMBS) using Large Language Modelling (LLM), allowing players to describe and create game content directly through natural language. This approach allows players to engage in game design intuitively and makes the gaming experience more personalized and diverse. In addition, this research highlights the great potential of LLM in facilitating human-computer interaction and creative tasks, opening up the possibility of new areas of game design. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","['Custom Map Editor', 'Large Language Model', 'Player Experience', 'Procedural Content Generation', 'Video Game', 'Computational linguistics', 'Computer games', 'Human computer interaction', 'Interactive computer graphics', 'Modeling languages', 'Custom map editor', 'Game contents', 'Game design', 'Gaming experiences', 'Language model', 'Large language model', 'Natural languages', 'Player experience', 'Procedural content generations', 'Video-games', 'Game design']",Springer Science and Business Media Deutschland GmbH,03029743 (ISSN); 978-303160691-5 (ISBN),English,Lect. Notes Comput. Sci.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: B. Feng; Shenzhen University, Shenzhen, China; email: fengbinlin2021@email.szu.edu.cn; Conference name: 6th International Conference on HCI in Games, held as part of the 26th HCI International Conference, HCII 2024; Conference date: 29 June 2024 through 4 July 2024; Conference code: 313059']",SCOPUS,['Fang X.'],,,
JOUR,"['Alvarez, A.', 'Font, J.', 'Togelius, J.']",Toward Designer Modeling Through Design Style Clustering,2022,IEEE Transactions on Games,14,4,676,686,10.1109/TG.2022.3143800,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123365921&doi=10.1109%2fTG.2022.3143800&partnerID=40&md5=62de394317da57777a7bf72340e13150'],"Malmö University, Department of Computer Science and Media Technology, Malmö, 21144, Sweden","We propose modeling designer style in mixed-initiative game content creation tools as archetypical design traces. These design traces are formulated as transitions between design styles; these design styles are in turn found through clustering all intermediate designs along the way to making a complete design. This method is implemented in the Evolutionary Dungeon Designer, a research platform for mixed-initiative systems to create adventure and dungeon crawler games. We present results both in the form of design styles for rooms, which can be analyzed to better understand the kind of rooms designed by users, and in the form of archetypical sequences between these rooms, i.e., designer personas.  © 2018 IEEE.","['Computer games', 'designer modeling', 'mixed-initiative cocreativity', 'procedural content generation', 'unsupervised learning', 'Data structures', 'Adaptation models', 'Computational modelling', 'Designer modeling', 'Game', 'Integrated circuit modeling', 'Mixed-initiative', 'Mixedinitiative co-creativity', 'Predictive models', 'Procedural content generations', 'Solid modelling', 'Computer games']",Institute of Electrical and Electronics Engineers Inc.,24751502 (ISSN),English,IEEE Trans. Games,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 8; Correspondence Address: A. Alvarez; Malmö University, Department of Computer Science and Media Technology, Malmö, 21144, Sweden; email: alberto.alvarez@mau.se']",SCOPUS,,,,
CONF,"['Navarro, S.', 'Iglesias, A.', 'Pérez, F.', 'Cetina, C.', 'Font, J.']",Phylogenix: Bringing phylogenetics to Unity,2024,ACM International Conference Proceeding Series,,,38,41,10.1145/3646548.3676604,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203844754&doi=10.1145%2f3646548.3676604&partnerID=40&md5=330b171f6fac70e068aeea1a3616dbd1'],"Universidad San Jorge, Zaragoza, Spain","Game Software Engineering addresses the software part of creating video games, with game engines like Unity serving as foundational tools for development. A major challenge in game development is creating new content, resulting in the exploration of Procedural Content Generation techniques. However, these techniques often lack formalized variability, hindering the transition to a Software Product Line paradigm. This paper presents Phylogenix, a Unity plugin that leverages phylogenetic analysis for a family of video game content where variability is not formalized. The resulting phylogenetic tree has potential to understand the variability and even release latent family members. A video of the tool and source code are available at https://svit.usj.es/phylogenix. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","['Game Software Engineering', 'Phylogenetics', 'Procedural Content Generation', 'Software Product Families', 'Game development', 'Game Engine', 'Game software', 'Game software engineering', 'Generation techniques', 'Phylogenetics', 'Procedural content generations', 'Software parts', 'Software product family', 'Video-games', 'Software engineering']",Association for Computing Machinery,979-840070593-9 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 28th ACM International Systems and Software Product Line Conference, SPLC 2024; Conference date: 2 September 2024 through 6 September 2024; Conference code: 202241']",SCOPUS,"['Cordy M.', 'Struber D.', 'Struber D.', 'Pinto M.', 'Groher I.', 'Dhungana D.', 'Kruger J.', 'Alves Pereira J.', 'Acher M.', 'Thum T.', 'Thum T.', 'ter Beek M.H.', 'Galasso-Carbonnel J.', 'Arcaini P.', 'Mousavi M.R.', 'Ternava X.', 'Galindo J.A.', 'Yue T.', 'Fuentes L.', 'Horcas J.M.']",,,
CONF,"['Bizel, P.G.', 'Vansnick, A.-M.', 'Massot, C.', 'Barthe-Batsalle, H.']",An end game scenario for young people? Still yet to come,2023,Tobacco Prevention and Cessation,9,,9,10,10.18332/TPC/172589,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188509100&doi=10.18332%2fTPC%2f172589&partnerID=40&md5=c1097d7c336db570497ed32d4a3357dd'],"Observatoire de la santé, Province de Hainaut, Belgium","Introduction The presentation is based on: - the evolution of tobacco prevalence and control measures among young people from 1997 to 2020. - the objectives of the main upcoming measures of the Belgian inter-federal strategy for 2022-2028. Taking into account the persistent strong social gradient, it will be discuss recommendations towards young people. Background In Belgium, much of the reduction in the prevalence of tobacco use in young people can be attributed to general long-term policies, most of them adopted during the last twenty years at the federal and regional levels such as: - legal measures: • smoking ban in schools, indoor public places, cars when a minor is present, • advertising ban, neutral packaging, • gradual increase in taxation; - adoption of health promotion policies encouraging protective factors related to addiction. A legal and social process to denormalize tobacco use has been implemented and produced results in particular for young people. Results Recurrent surveys on teenagers 10 -17 yrs from the Health Observatory of Hainaut (HOH,CSSV network) since 1997 report significant progress towards a smoke-free generation. For example, although the province of Hainaut has a disadvantaged context compared to other Belgian provinces, current smoking prevalence fell to 7.0% in 2020 (age 16) compared to 30% in 1997. Moreover, these progresses are not equally distributed among socio-economic groups: In 2020, current smoking prevalence among 15-17 yrs old was 12.5% among professional training school, against 2,9% for general education. Discussion New measures included in the inter-federal plan could be the tool to reach an end-game. Among them: smoking ban on railway station platform, prohibition at external entrances to schools, display ban and reduction of sale points, pouches ban, puffbars ban, automat display ban, increase in taxes; etc. … Particular attention should be paid to ensure that young people from disadvantaged socio-economic backgrounds can benefit from these positive developments. Conflicts of interest The authors have no conflicts of interest to disclose. © (2023), (European Publishing). All Rights Reserved.",,European Publishing,24593087 (ISSN),English,Tob. Prev. Cessat.,Conference paper,Scopus,['Export Date: 06 January 2025; Cited By: 0'],SCOPUS,,,,
