type_of_reference,authors,title,secondary_title,language,keywords,abstract,author_address,custom3,unknown_tag,issn,date,year,volume,number,start_page,end_page,doi,accession_number,notes,database,custom7,custom6,first_authors
JOUR,"['Charity, M', 'Dave, I', 'Khalifa, A', 'Togelius, J']",Baba is Y'all 2.0: Design and Investigation of a Collaborative Mixed-Initiative System,IEEE TRANSACTIONS ON GAMES,English,"['Artificial intelligence (AI)', 'Baba Is You', 'collaboration', 'crowdsourcing', 'level design', 'mixed-initiative', 'procedural content generation (PCG)']","This article describes a new version of the mixed-initiative collaborative level-designing system, i.e., Baba Is Y'all, as well as the results of a user study on the system. Baba is Y'all is a prototype for artificial intelligence (AI)-assisted game design in collaboration with others. The updated version includes a more user-friendly interface, a better level evolver and recommendation system, and extended site features. The system was evaluated via a user study where participants were required to play a previously submitted level from the site, and then create their own levels using the editor. They reported on their individual process creating the level and their overall experience interacting with the site. The results have shown both the benefits and limitations of this mixed-initiative system and how it can help with creating a diversity of Baba is You levels that are both human and AI designed while maintaining their quality.","NYU, Game Innovat Lab, Brooklyn, NY 11201 USA",New York University,"defaultdict(<class 'list'>, {'FU': ['NYU#x0027;s Graduate Assistance'], 'FX': ['No Statement Available'], 'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE T GAMES'], 'JI': ['IEEE Trans. Gamres'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2475-1502,MAR,2024,16,1,75,89,10.1109/TG.2022.3223527,WOS:001188343000005,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  44']",WOS,,,
JOUR,"['Walton, SP', 'Rahat, AAM', 'Stovold, J']",Evaluating Mixed-Initiative Procedural Level Design Tools Using a Triple-Blind Mixed-Method User Study,IEEE TRANSACTIONS ON GAMES,English,"['Tools', 'Games', 'Measurement', 'Optimization', 'Space exploration', 'Evolutionary computation', 'Visualization', 'Content creation', 'evaluation', 'evolutionary algorithms', 'genetic algorithms', 'procedural content', 'OPTIMIZATION', 'GENERATION']","Results from a triple-blind mixed-method user study into the effectiveness of mixed-initiative tools for the procedural generation of game levels are presented. A tool which generates levels using interactive evolutionary optimization was designed for this study which 1) is focused on supporting the designer to explore the design space and 2) only requires the designer to interact with it by designing levels. The tool identifies level design patterns in an initial hand-designed map and uses that information to drive an interactive optimization algorithm. A rigorous user study was designed which compared the experiences of designers using the mixed-initiative tool to designers who were given a tool which provided completely random level suggestions. The designers using the mixed-initiative tool showed an increased engagement in the level design task, reporting that it was effective in inspiring new ideas and design directions. This provides significant evidence that procedural content generation can be used as a powerful tool to support the human design process. support for the research of this article.","Swansea Univ, Dept Comp Sci, Swansea SA2 8PP, W Glam, Wales",Swansea University,"defaultdict(<class 'list'>, {'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE T GAMES'], 'JI': ['IEEE Trans. Gamres'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2475-1502,SEP,2022,14,3,413,422,10.1109/TG.2021.3086215,WOS:000853840900011,"['Times Cited in Web of Science Core Collection:  4', 'Total Times Cited:  4', 'Cited Reference Count:  39']",WOS,,,
JOUR,"['Karavolos, D', 'Liapis, A', 'Yannakakis, G']",A Multifaceted Surrogate Model for Search-Based Procedural Content Generation,IEEE TRANSACTIONS ON GAMES,English,"['Games', 'Adaptation models', 'Generators', 'Computational modeling', 'Deep learning', 'Weapons', 'Measurement', 'Deep learning', 'procedural content generation (PCG)', 'search-based PCG', 'shooter games', 'surrogate model', 'GAME']","This paper proposes a framework for the procedural generation of level and ruleset components of games via a surrogate model that assesses their quality and complementarity. The surrogate model combines level and ruleset elements as input and gameplay outcomes as output, thus constructing a mapping between three different facets of games. Using this model as a surrogate for expensive gameplay simulations, a search-based generator can adapt content toward a target gameplay outcome. Using a shooter game as the target domain, this paper explores how parameters of the players' character classes can be mapped to both the level's representation and the gameplay outcomes of balance and match duration. The surrogate model is built on a deep learning architecture, trained on a large corpus of randomly generated sets of levels, classes, and simulations from game playing agents. Results show that a search-based generative approach can adapt character classes, levels, or both toward designer-specified targets. The model can thus act as a design assistant or be integrated in a mixed-initiative tool. Most importantly, the combination of three game facets into the model allows it to identify the synergies between levels, rules, and gameplay and orchestrate the generation of the former two toward desired outcomes.","Univ Malta, Inst Digital Games, Msida 2080, Malta",University of Malta,"defaultdict(<class 'list'>, {'FU': [""European Union's Horizon 2020 program [787476]""], 'FX': [""This work was supported by the European Union's Horizon 2020 program under Grant 787476.""], 'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE T GAMES'], 'JI': ['IEEE Trans. Gamres'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2475-1502,MAR,2021,13,1,11,22,10.1109/TG.2019.2931044,WOS:000631200800002,"['Times Cited in Web of Science Core Collection:  7', 'Total Times Cited:  7', 'Cited Reference Count:  41']",WOS,,,
CPAPER,"['Feng, BL', 'Su, MY', 'Zeng, KY', 'Li, X']",Player-Oriented Procedural Generation: Producing Desired Game Content by Natural Language,"HCI IN GAMES, PT I, HCI-GAMES 2024",English,"['Procedural Content Generation', 'Large Language Model', 'Custom Map Editor', 'Player Experience', 'Video Game']","Procedural Content Generation (PCG) plays a vital role in digital games and interactive media, using algorithms and rules to automatically generate the core elements of a game, aiming to provide a rich and unique experience for the player. This study proposes an innovative player-oriented PCG approach to integrate PCG into the player's gaming experience to enhance game interactivity. We developed a Quick Custom Map Generation System (QMBS) using Large Language Modelling (LLM), allowing players to describe and create game content directly through natural language. This approach allows players to engage in game design intuitively and makes the gaming experience more personalized and diverse. In addition, this research highlights the great potential of LLM in facilitating human-computer interaction and creative tasks, opening up the possibility of new areas of game design.","Shenzhen Univ, Shenzhen, Peoples R China",Shenzhen University,"defaultdict(<class 'list'>, {'ED': ['Fang, X'], 'CP': ['6th International Conference on HCI in Games (HCI-Games) Held as Part of the 26th International Conference on Human-Computer Interaction (HCII)'], 'FU': ['Shenzhen Key Laboratory of next generation interactive media innovative technology [ZDSYS202 10623092001004]'], 'FX': ['This work was partly supported by Shenzhen Key Laboratory of next generation interactive media innovative technology (No: ZDSYS202 10623092001004)'], 'PU': ['SPRINGER INTERNATIONAL PUBLISHING AG'], 'PI': ['CHAM'], 'PA': ['GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND'], 'J9': ['LECT NOTES COMPUT SC'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",0302-9743,,2024,14730,,260,274,10.1007/978-3-031-60692-2_18,WOS:001285848600018,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  30']",WOS,,,
JOUR,"['Volz, V', 'Naujoks, B', 'Kerschke, P', 'Tusar, T']",Tools for Landscape Analysis of Optimisation Problems in Procedural Content Generation for Games,APPLIED SOFT COMPUTING,English,"['Optimisation', 'Search-based procedural content', 'generation', 'Exploratory Landscape Analysis', 'Mario level generation', 'FITNESS LANDSCAPES']","The term Procedural Content Generation (PCG) refers to the (semi-)automatic generation of game content by algorithmic means, and its methods are becoming increasingly popular in game-oriented research and industry. A special class of these methods, which is commonly known as search-based PCG, treats the given task as an optimisation problem. Such problems are predominantly tackled by evolutionary algorithms.We will demonstrate in this paper that obtaining more information about the defined optimisation problem can substantially improve our understanding of how to approach the generation of content. To do so, we present and discuss three efficient analysis tools, namely diagonal walks, the estimation of high-level properties, as well as problem similarity measures. We discuss the purpose of each of the considered methods in the context of PCG and provide guidelines for the interpretation of the results received. This way we aim to provide methods for the comparison of PCG approaches and eventually, increase the quality and practicality of generated content in industry.(c) 2023 Elsevier B.V. All rights reserved.","Modlai, Copenhagen, Denmark",Technische Universitat Dresden,"defaultdict(<class 'list'>, {'FU': ['Slovenian Research Agency [Z2-8177, N2-0254, P2-0209]; European Research Center for Information Systems (ERCIS)'], 'FX': ['Tea Tu?ar acknowledges financial support from the Slovenian Research Agency (projects No. Z2-8177 and N2-0254, and pro-gram No. P2-0209) . Pascal Kerschke acknowledges support by the European Research Center for Information Systems (ERCIS) .'], 'PU': ['ELSEVIER'], 'PI': ['AMSTERDAM'], 'PA': ['RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS'], 'J9': ['APPL SOFT COMPUT'], 'JI': ['Appl. Soft. Comput.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",1568-4946,MAR,2023,136,,,,10.1016/j.asoc.2023.110121,WOS:000967888300001,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  69']",WOS,110121,FEB 2023,
CPAPER,"['Werneck, M', 'Clua, EWG']",Generating Procedural Dungeons Using Machine Learning Methods,2020 19TH BRAZILIAN SYMPOSIUM ON COMPUTER GAMES AND DIGITAL ENTERTAINMENT (SBGAMES 2020),English,"['procedural generation', 'Machine Learning', 'Dungeons', 'UnityML']","Procedural content generation (PCG) is a powerful tool to optimize creation of content in the game industry. However, it can lead to lack of control and mischaracterization of the game design, creating unbalanced or undesired situations. To overcome such problems, machine learning can be used to map important patterns of a game design and apply them in the PCG. Considering such aspects, this paper proposes a strategy for procedurally generating dungeons using ML techniques. We use Unity ML-Agents tool for the implementation, since dungeons are environments largely used in the industry that also require more control over its creation. The strategy used in this paper has proven to generate dungeons that respect room positioning design choices and maintains the game characterization. We conclude, after conducting a survey with users, that the generated dungeons presented reliable maps and showed to be more enjoyable and replayable than manually generated ones following the same design principles.","Univ Fed Fluminense, Dept Comp Sci, Niteroi, RJ, Brazil",Universidade Federal Fluminense,"defaultdict(<class 'list'>, {'CP': ['19th Brazilian Symposium on Computer Games and Digital Entertainment (SBGames)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['BRAZIL SYMP GAME DIG'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2159-6654,,2020,,,90,96,10.1109/SBGames51465.2020.00022,WOS:000904725100011,"['Times Cited in Web of Science Core Collection:  3', 'Total Times Cited:  3', 'Cited Reference Count:  12']",WOS,,,['IEEE']
CPAPER,"['Martens, C']",Towards Declarative Content Generation for Creativity Support Tools,"PRACTICAL ASPECTS OF DECLARATIVE LANGUAGES, PADL 2023",English,"['Logic Programming', 'Procedural Content Generation', 'Creativity Support Tools']","Procedural content generation (PCG) represents a class of computational techniques in the context of games, art, graphics, and simulation, for algorithmically producing novel digital artifacts more typically handcrafted by artists and designers, such as planetary terrain, texture assets, level map layouts, and game quests and stories. There is growing interest in PCG for its potential to enable creativity support tools (CST): software that can assist and proactively collaborate with human practitioners to iterate on generative algorithms towards a creative design goal. While declarative programming tools, especially logic programming and solvers, offer many appealing benefits for PCG, there remain barriers to their adoption. In this paper, we focus on the specific challenge of inspecting execution: the important role in PCG of being able to visualize a generative algorithm's intermediate states and see them as meaningful.","Northeastern Univ, Boston, MA 02115 USA",Northeastern University,"defaultdict(<class 'list'>, {'ED': ['Hanus, M', 'Inclezan, D'], 'CP': ['25th International Symposium on Practical Aspects of Declarative Languages (PADL)'], 'PU': ['SPRINGER INTERNATIONAL PUBLISHING AG'], 'PI': ['CHAM'], 'PA': ['GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND'], 'J9': ['LECT NOTES COMPUT SC'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",0302-9743,,2023,13880,,XIII,XV,,WOS:000968090200001,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  3']",WOS,,,
CPAPER,"['Alvarez, A', 'Grevillius, E', 'Olsson, E', 'Font, J']",Questgram [Qg]: Toward a Mixed-Initiative Quest Generation Tool,"PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2021",English,"['Quest Generation', 'Procedural Content Generation', 'Mixed-Initiative Co-Creativity', 'Grammars']","Quests are a core element in many games, especially role-playing and adventure games, where quests drive the gameplay and story, engage the player in the game's narrative, and in most cases, act as a bridge between different game elements. The automatic generation of quests and objectives is an interesting challenge since this can extend the lifetime of games such as in Skyrim, or can help create unique experiences such as in AI Dungeon. This work presents Questgram [Qg], a mixed-initiative prototype tool for creating quests using grammars combined in a mixed-initiative level design tool. We evaluated our tool quantitatively by assessing the generated quests and qualitatively through a small user study. Human designers evaluated the system by creating quests manually, automatically, and through mixed-initiative. Our results show the Questgram's potential, which creates diverse, valid, and interesting quests using quest patterns. Likewise, it helps engage designers in the quest design process, fosters their creativity by inspiring them, and enhance the level generation facet of the Evolutionary Dungeon Designer with steps towards intertwining both level and quest design.","Malmo Univ, Malmo, Sweden",Malmo University,"defaultdict(<class 'list'>, {'ED': ['Fowler, A', 'Pirker, J', 'Canossa, AA', 'Arya, AA', 'Harteveld, C'], 'CP': ['16th International Conference on the Foundations of Digital Games (FDG)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-4503-8422-3,,2021,,,,,10.1145/3472538.3472544,WOS:001124866500005,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  54']",WOS,6,,
CPAPER,"['Bhaumik, D', 'Togelius, J', 'Yannakakis, GN', 'Khalifa, A']",Lode Enhancer: Level Co-creation Through Scaling,"PROCEEDINGS OF THE 18TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2023",English,"['neural networks', 'mixed-initiative', 'supervised learning', 'procedural content generation', 'upscaling']","We explore AI-powered upscaling as a design assistance tool in the context of creating 2D game levels. Deep neural networks are used to upscale artificially downscaled patches of levels from the puzzle platformer game Lode Runner. The trained networks are incorporated into a web-based editor, where the user can create and edit levels at three different levels of resolution: 4x4, 8x8, and 16x16. An edit at any resolution instantly transfers to the other resolutions. As upscaling requires inventing features that might not be present at lower resolutions, we train neural networks to reproduce these features. We introduce a neural network architecture that is capable of not only learning upscaling but also giving higher priority to less frequent tiles. To investigate the potential of this tool and guide further development, we conduct a qualitative study with 3 designers to understand how they use it. Designers enjoyed co-designing with the tool, liked its underlying concept, and provided feedback for further improvement.","Inst Digital Games, Msida, Malta",,"defaultdict(<class 'list'>, {'ED': ['Lopes, P', 'Luz, F', 'Liapis, A', 'Engstrom, H'], 'CP': ['18th International Conference on the Foundations of Digital Games (FDG)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)', 'Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)']})",978-1-4503-9856-5,,2023,,,,,10.1145/3582437.3587206,WOS:001092777800070,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  22']",WOS,65,,
JOUR,"['Alvarez, A', 'Font, J', 'Togelius, J']",Toward Designer Modeling Through Design Style Clustering,IEEE TRANSACTIONS ON GAMES,English,"['Computer games', 'designer modeling', 'mixed-initiative cocreativity', 'procedural content generation', 'unsupervised learning']","We propose modeling designer style in mixed-initiative game content creation tools as archetypical design traces. These design traces are formulated as transitions between design styles; these design styles are in turn found through clustering all intermediate designs along the way to making a complete design. This method is implemented in the Evolutionary Dungeon Designer, a research platform for mixed-initiative systems to create adventure and dungeon crawler games. We present results both in the form of design styles for rooms, which can be analyzed to better understand the kind of rooms designed by users, and in the form of archetypical sequences between these rooms, i.e., designer personas.","Malmo Univ, Dept Comp Sci & Media Technol, S-21144 Malmo, Sweden",Malmo University,"defaultdict(<class 'list'>, {'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE T GAMES'], 'JI': ['IEEE Trans. Gamres'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2475-1502,DEC,2022,14,4,676,686,10.1109/TG.2022.3143800,WOS:000908822400014,"['Times Cited in Web of Science Core Collection:  4', 'Total Times Cited:  4', 'Cited Reference Count:  40']",WOS,,,
